Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,FPR,FNR
TabNet,0.9997630331753554,0.9997632350210323,0.9997630331753554,0.9997630642124501,0.9996718083360683,0.00016409583196586806,0.00016409583196586806
LSTM,0.7311796087729697,0.5346236202853931,0.7311796087729697,0.6176408474038405,0.4930723924044353,0.5,0.5
GRU,0.7311796087729697,0.5346236202853931,0.7311796087729697,0.6176408474038405,0.49760767153996144,0.5,0.5
TCN,0.7309629629629629,0.534306853223594,0.7309629629629629,0.6173521498218519,0.5075695212041235,0.5,0.5
Autoencoder,0.8040284360189573,0.7948772898125536,0.8040284360189573,0.7894069061888456,0.8840336294332806,0.2979853004828307,0.2979853004828307
