Model,Accuracy,Precision,Recall,F1-Score,Macro F1,Balanced Acc,ROC AUC,FPR,FNR,CV Accuracy (mean±std),CV Macro F1 (mean±std),CV Balanced Acc (mean±std)
TabNet,0.885308056872038,0.889406598452324,0.885308056872038,0.8776274031289739,0.8655911944417168,0.8696237498311369,0.951311500740957,0.12968645079764657,0.13037625016886303,0.8675±0.0154,0.6827±0.1436,0.6360±0.1286
LSTM,0.7199170124481328,0.518280504812245,0.7199170124481328,0.602680828273829,0.2790510655408122,0.3333333333333333,0.4879861145835616,0.3333333333333333,0.6666666666666666,,,
GRU,0.7199170124481328,0.518280504812245,0.7199170124481328,0.602680828273829,0.2790510655408122,0.3333333333333333,0.4367126204383776,0.3333333333333333,0.6666666666666666,,,
TCN,0.72,0.5184,0.72,0.6027906976744186,0.27906976744186046,0.3333333333333333,0.5721129297119497,0.3333333333333333,0.6666666666666666,,,
Autoencoder,0.7281990521327014,0.5302738595269647,0.7281990521327014,0.6136722027159719,0.2809086338498103,0.3333333333333333,0.4703849718689302,0.3333333333333333,0.6666666666666666,,,
